latitude,longitude,year,month,country,basisOfRecord
35.343153,25.136605,,,Greece,OCCURRENCE
35.343153,25.136605,,,Greece,OCCURRENCE
40.36501,-3.651625,2013,1,Spain,MATERIAL_SAMPLE
40.36501,-3.651625,2013,1,Spain,MATERIAL_SAMPLE
40.36501,-3.651625,2013,1,Spain,MATERIAL_SAMPLE
40.36501,-3.651625,2013,1,Spain,MATERIAL_SAMPLE
40.36501,-3.651625,2013,2,Spain,MATERIAL_SAMPLE
40.36501,-3.651625,2013,2,Spain,MATERIAL_SAMPLE
40.36501,-3.651625,2013,2,Spain,MATERIAL_SAMPLE
40.36501,-3.651625,2013,3,Spain,MATERIAL_SAMPLE
40.36501,-3.651625,2013,3,Spain,MATERIAL_SAMPLE
40.36501,-3.651625,2013,3,Spain,MATERIAL_SAMPLE
40.36501,-3.651625,2013,3,Spain,MATERIAL_SAMPLE
40.36501,-3.651625,2013,3,Spain,MATERIAL_SAMPLE
40.36501,-3.651625,,,Spain,MATERIAL_SAMPLE
40.49306,17.286389,2014,4,Italy,HUMAN_OBSERVATION
40.49306,17.286389,2013,6,Italy,HUMAN_OBSERVATION
40.49306,17.3025,2013,6,Italy,HUMAN_OBSERVATION
40.922095,24.388364,2023,8,Greece,HUMAN_OBSERVATION
41.13,1.44,,,Spain,MATERIAL_SAMPLE
41.13,1.44,,,Spain,MATERIAL_SAMPLE
41.13,1.44,,,Spain,MATERIAL_SAMPLE
41.13,1.44,,,Spain,MATERIAL_SAMPLE
41.13,1.44,,,Spain,MATERIAL_SAMPLE
41.13,1.44,,,Spain,MATERIAL_SAMPLE
41.13,1.44,,,Spain,MATERIAL_SAMPLE
41.13,1.44,,,Spain,MATERIAL_SAMPLE
41.13,1.44,,,Spain,MATERIAL_SAMPLE
41.13,1.44,,,Spain,MATERIAL_SAMPLE
41.13,1.44,,,Spain,MATERIAL_SAMPLE
41.56,2.55,2010,7,Spain,MATERIAL_SAMPLE
42.04712,3.2258,2015,11,Spain,HUMAN_OBSERVATION
42.047283,3.225834,2020,1,Spain,HUMAN_OBSERVATION
42.23813,3.2566,2023,8,Spain,HUMAN_OBSERVATION
42.248,-8.790667,,,Spain,HUMAN_OBSERVATION
42.252167,-8.766833,,,Spain,HUMAN_OBSERVATION
42.809938,3.020283,2024,11,France,HUMAN_OBSERVATION
42.98201,12.763658,2005,7,Italy,MATERIAL_SAMPLE
42.98886,6.39705,2022,4,France,HUMAN_OBSERVATION
43.111769,3.122651,2024,3,France,HUMAN_OBSERVATION
43.138248,5.770357,2021,12,France,HUMAN_OBSERVATION
43.17648,5.37087,2018,9,France,HUMAN_OBSERVATION
43.20783,5.33848,2018,9,France,HUMAN_OBSERVATION
43.318564,3.558727,2022,2,France,HUMAN_OBSERVATION
43.405751,5.116433,2024,4,France,HUMAN_OBSERVATION
43.405751,5.116433,2024,4,France,HUMAN_OBSERVATION
43.41,-1.7,2011,6,France,HUMAN_OBSERVATION
43.413691,3.685515,2022,11,France,HUMAN_OBSERVATION
43.413691,3.685515,2022,11,France,HUMAN_OBSERVATION
43.41822,3.60155,2016,11,France,HUMAN_OBSERVATION
43.420748,3.667694,2022,3,France,HUMAN_OBSERVATION
43.420748,3.667694,2022,3,France,HUMAN_OBSERVATION
43.42128,3.60545,2016,6,France,HUMAN_OBSERVATION
43.422043,3.705953,2022,10,France,HUMAN_OBSERVATION
43.424299,3.700209,2025,2,France,HUMAN_OBSERVATION
43.42463,3.699392,2022,3,France,HUMAN_OBSERVATION
43.424684,3.699912,2023,3,France,HUMAN_OBSERVATION
43.424697,3.70003,2023,9,France,HUMAN_OBSERVATION
43.424697,3.70003,2022,2,France,HUMAN_OBSERVATION
43.424697,3.70003,2022,5,France,HUMAN_OBSERVATION
43.424697,3.70003,2022,12,France,HUMAN_OBSERVATION
43.42472,3.7,2023,5,France,HUMAN_OBSERVATION
43.42472,3.7,2023,5,France,HUMAN_OBSERVATION
43.42472,3.7,2023,6,France,HUMAN_OBSERVATION
43.42472,3.7,2022,3,France,HUMAN_OBSERVATION
43.42472,3.7,2022,4,France,HUMAN_OBSERVATION
43.42472,3.7,2022,5,France,HUMAN_OBSERVATION
43.42472,3.7,2022,5,France,HUMAN_OBSERVATION
43.42472,3.7,2021,5,France,HUMAN_OBSERVATION
43.42472,3.7,2021,6,France,HUMAN_OBSERVATION
43.42472,3.7,2021,10,France,HUMAN_OBSERVATION
43.42472,3.7,2018,4,France,HUMAN_OBSERVATION
43.42472,3.7,2018,4,France,HUMAN_OBSERVATION
43.42472,3.7,2018,4,France,HUMAN_OBSERVATION
43.42472,3.7,2018,9,France,HUMAN_OBSERVATION
43.42472,3.7,2017,4,France,HUMAN_OBSERVATION
43.42472,3.7,2017,9,France,HUMAN_OBSERVATION
